STRING	N1_F	N1_C	N2_F	N2_C	N3_F	N3_C
hetted	10971.07	970.00	3234.31	284.80	696.33	50.75
hicaly	5578.61	518.17	943.48	69.20	9.44	2.50
hinded	8831.86	917.17	2511.93	266.60	237.39	31.25
hithid	5876.22	509.50	950.58	31.80	226.15	3.50
hollin	4585.85	488.33	753.99	69.00	58.06	8.75
holome	6288.06	514.50	618.03	43.80	155.95	4.50
horang	6227.55	571.00	1303.24	117.20	40.04	5.75
hullds	4463.36	658.83	504.18	58.80	56.65	7.50
hurelt	6449.27	566.33	954.37	62.40	114.82	5.50
hurnde	5770.23	509.67	630.41	46.40	105.42	3.00
huzant	4279.97	423.67	338.07	35.20	11.81	4.25
imesow	2224.23	236.67	287.64	22.40	0.00	0.00
imoply	4814.32	378.17	1423.80	53.20	421.92	2.00
ineple	5786.48	427.17	1465.54	73.00	427.53	4.75
iniore	5638.13	430.50	1113.65	46.20	278.25	2.50
inlven	6138.00	654.17	676.46	71.60	67.66	8.50
inshet	6891.20	668.50	1034.39	80.80	140.61	18.00
inster	7770.20	779.33	2478.89	221.20	616.23	41.75
intaic	3169.49	295.83	498.35	49.80	49.96	5.50
inyoas	4347.52	555.83	366.14	35.00	46.78	0.50
iskich	3242.56	255.50	540.67	29.20	20.38	0.75
itrked	8407.50	815.00	2541.96	241.60	477.52	30.25
itrmer	7509.09	756.00	1885.31	160.80	122.03	8.75
itrmot	4172.49	351.00	444.45	21.60	1.74	1.00
jasted	9740.04	991.00	2809.05	286.80	522.61	51.00
javome	5693.60	472.33	436.66	21.40	142.62	1.75
jeedal	4427.09	425.50	568.28	41.80	46.20	3.00
jocing	6267.11	544.17	1967.13	139.40	1053.29	67.00
jondle	7002.93	583.83	1361.06	95.40	199.94	15.25
jontir	5535.35	567.00	519.96	43.00	58.97	1.75
jotety	5842.89	548.83	478.04	52.00	32.32	4.50
jothed	9554.42	887.50	2873.20	233.60	593.56	15.00
jothes	9155.28	1044.00	1705.50	160.80	565.88	17.50
jublld	5509.47	512.50	532.97	27.80	88.26	0.50
juther	7687.11	768.17	2326.36	172.60	861.59	15.50
kerion	6916.88	578.17	989.03	71.00	221.27	9.50
kinays	4636.25	664.50	532.44	49.60	177.94	6.75
kinden	7055.35	775.17	948.37	106.40	215.39	21.00
kinnds	4894.45	671.17	569.79	68.00	138.01	10.75
kitter	8678.09	849.50	2894.89	214.80	899.77	44.00
kittic	4044.52	379.83	1042.04	54.60	286.62	8.75
lardge	7156.50	592.17	726.37	74.00	113.76	8.00
larklf	6146.38	534.67	682.19	65.80	78.89	6.00
laswer	8632.28	888.33	1762.51	170.00	109.69	5.00
latups	6713.73	725.50	758.34	56.60	122.70	5.50
learon	6065.76	517.50	1116.64	81.80	168.05	12.00
leayed	10037.78	932.50	2426.03	229.20	179.09	11.00
lecele	8761.43	618.00	1651.67	93.40	35.55	2.75
leeest	6557.60	525.00	729.46	70.80	91.37	15.50
leldon	5673.03	469.83	757.87	57.40	94.49	2.75
lemern	6556.19	512.67	659.31	65.00	57.96	4.75
leople	8701.45	588.83	1909.94	69.80	1072.83	5.25
lepple	7661.00	543.83	1472.84	83.80	440.31	6.75
lersor	6911.99	578.33	634.49	51.40	116.68	4.00
licarn	4896.49	450.00	664.36	45.20	2.26	2.75
liddat	4306.87	428.83	589.97	40.80	58.90	4.00
ligher	7857.57	787.00	2392.92	173.20	619.53	13.50
limism	5024.25	447.83	686.84	51.60	29.84	10.25
limmer	8073.20	812.67	2073.22	174.60	121.78	14.25
linded	9215.82	923.67	2804.08	274.20	244.53	32.50
linder	8377.13	870.67	2365.98	213.80	237.20	33.00
lippur	4315.96	426.17	563.98	39.00	13.74	5.75
lisece	6658.17	532.67	1052.14	50.80	38.19	3.75
lisugh	4567.45	341.67	1055.22	34.60	319.13	3.00
litaes	9405.30	1085.33	1412.93	144.00	248.32	2.25
lithed	9641.96	874.00	3358.85	238.40	865.69	16.75
lithet	8526.48	775.67	1821.39	77.40	803.23	10.25
litind	8452.19	679.67	2204.96	111.80	397.86	11.00
littes	9845.04	1096.00	2480.03	209.40	865.71	28.75
littly	6970.44	555.00	2203.71	88.40	884.64	13.25
lituge	6799.10	449.67	1250.95	39.20	258.78	2.00
livind	7552.77	633.00	2009.93	102.40	481.24	9.75
locigs	7240.15	782.67	703.57	33.80	119.43	3.25
locken	8138.34	804.67	1248.71	106.40	227.54	27.75
loctrs	6979.21	773.67	759.89	68.00	50.12	2.50
lofore	7071.61	520.00	1382.30	40.60	561.78	3.50
lollem	7725.53	804.50	1133.68	93.60	294.12	19.50
lolply	6396.83	553.17	1579.29	71.20	93.11	2.25
lomerd	7487.45	632.17	877.53	70.00	90.73	3.50
lomied	10925.66	1023.83	2594.51	242.00	93.30	7.50
loming	6972.92	576.17	2266.46	153.20	1055.59	71.50
londed	9824.85	968.67	2776.49	265.00	437.64	30.75
londgh	4789.86	419.83	953.36	48.40	249.22	4.75
lonner	9300.93	932.83	2261.70	193.00	309.36	20.50
lonnon	5646.75	514.67	1050.07	64.00	212.24	4.50
lontey	9305.20	937.83	1428.91	104.40	316.95	8.00
looule	8651.58	596.83	2130.74	91.20	376.32	4.00
