STRING	N1_F	N1_C	N2_F	N2_C	N3_F	N3_C
menour	6495.84	553.00	547.51	52.20	161.57	9.75
menter	10085.31	963.67	2505.45	227.80	587.10	37.00
mentre	8018.46	628.50	997.55	60.60	201.53	9.00
merste	7515.05	618.67	507.65	61.80	98.25	5.75
mervas	6849.60	785.67	387.39	54.40	62.53	6.00
metaid	7503.29	623.00	536.59	50.60	110.55	8.50
methed	10722.60	926.17	2970.77	243.20	521.57	17.50
mether	9883.91	873.17	2532.67	182.80	904.74	19.25
midely	6123.83	558.17	1266.02	84.80	256.76	14.00
milles	8746.28	1091.00	1400.78	205.00	355.37	31.25
mintre	6907.62	591.50	993.71	65.80	144.89	8.75
mirces	9065.93	1103.00	999.21	152.60	197.72	10.50
mirrow	4678.27	447.17	380.41	48.00	97.97	8.75
misdon	4620.94	445.83	719.34	54.60	109.11	5.25
misher	8300.46	839.33	2091.48	190.20	578.72	29.25
mispet	8004.81	807.33	630.49	84.00	32.93	7.75
misten	8308.29	846.33	1333.74	129.60	302.65	25.50
mixice	6464.18	525.50	612.74	42.60	206.19	6.25
mobody	5112.54	473.33	527.26	36.00	93.24	3.00
modder	8440.49	879.33	2129.59	197.40	247.40	27.75
modely	6732.86	603.17	1516.14	86.80	315.97	13.50
modert	5984.39	541.67	866.23	73.00	194.59	7.75
modges	8781.16	1086.67	1260.75	178.00	120.55	23.75
modget	8064.82	831.83	890.99	89.80	126.97	14.75
momend	7940.64	676.67	1243.73	55.00	326.69	7.75
mommed	9490.71	925.83	2552.48	240.60	323.34	19.50
monema	4844.63	484.83	618.87	44.00	95.46	4.50
monral	4828.67	510.67	852.71	61.00	78.77	4.50
montem	8363.06	864.83	1485.86	103.20	315.13	8.50
montly	7148.45	640.17	1767.65	91.40	217.51	7.50
mooked	10202.18	968.83	2872.63	269.40	707.92	34.75
mottly	7549.26	615.17	2015.13	94.00	559.01	15.25
movied	10554.94	1011.50	2677.63	240.20	201.28	9.25
muture	6719.71	493.00	917.09	43.40	382.00	9.75
mysels	6210.09	696.50	714.48	55.20	326.72	12.00
